
굿네이버스는	굿네이버스/NNP+는/JX
국내	국내/NNG
결식아동을	결식아동/NNG+을/JKO
위해	위하/VV+아/EM
지난	지나/VV+ㄴ/ETM
2000년부터	2000/SN+년/NNB+부터/JX
전국	전국/NNG
1547개	1547/SN+개/NNB
학교,	학교/NNG+,/SP
3만5899명에게	3/SN+만/NR+5899/SN+명/NNB+에게/JKB
급식,	급식/NNG+,/SP
학습지도,	학습/NNG+지도/NNG+,/SP
문화체험을	문화/NNG+체험/NNG+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
‘희망나눔학교’	‘/SS+희망/NNG+나누/VV+ㅁ/ETN+학교/NNG+’/SS
프로그램을	프로그램/NNG+을/JKO
진행해	진행/NNG+하/XSV+아/EM
왔다.	오/VX+았/EP+다/EM+./SF

‘매달	‘/SS+매달/MAG
○○만	○○/SO+만/NR
원씩	원/NNB+씩/XSN
36개월만	36/SN+개월/NNB+만/JX
내면	내면/NNP
신차가	신/XPN+차/NNG+가/JKS
내	내/NP
품에….’	품/NNG+에/JKB+…/SE+./SF+’/SS

엄동설한에	엄동설한/NNG+에/JKB
비닐하우스	비닐하우스/NNG
집에서	집/NNG+에서/JKB
쫓겨난	쫓겨나/VV+ㄴ/ETM
내곡동	내곡동/NNP
주민	주민/NNG
15명의	15/SN+명/NNB+의/JKG
겨우살이는	겨우살이/NNP+는/JX
힘겨웠다.	힘겹/VA+었/EP+다/EM+./SF

그나마	그나마/MAG
한국	한국/NNP
남자들의	남자들/NNP+의/JKG
자존심을	자존심/NNG+을/JKO
살려준	살리/VV+어/EM+주/VX+ㄴ/ETM
것은	것/NNB+은/JX
축구와	축구/NNP+와/JKB
농구다.	농구/NNP+다/EM+./SF

남자	남자/NNG
농구도	농구/NNP+도/JX
아시아	아시아/NNP
최강	최강/NNG
이란을	이란/NNP+을/JKO
두	두/MM
점	점/NNB
차로	차로/NNP
꺾고	꺾/VV+고/EM
우승했다.	우승/NNG+하/XSV+았/EP+다/EM+./SF

일제와	일제/NNG+와/JKB
그	그/MM
앞잡이들은	앞잡이/NNG+들/XSN+은/JX
가난한	가난/NNG+하/XSV+ㄴ/ETM
집	집/NNG
여자만	여자/NNG+만/JX
골라	고르/VV+아/EM
꾀었다.	꾀/VV+었/EP+다/EM+./SF

기아(KIA)는	기아/NNP+(/SS+KIA/SL+)/SS+는/JX
광주에서	광주/NNP+에서/JKB
두산을	두산/NNP+을/JKO
맞아	맞/VV+아/EM
12회까지	12/SN+회/NNB+까지/JX
가는	가/VV+는/ETM
연장	연장/NNG
혈투를	혈투/NNP+를/JKO
벌이다	벌이/VV+다/EM
나지완의	나지완/NNP+의/JKG
끝내기	끝내기/NNP
안타로	안타/NNG+로/JKB
4-3으로	4/SN+-3/NNP+으로/JKB
힘겹게	힘겹/VA+게/EM
승리했다.	승리/NNG+하/XSV+았/EP+다/EM+./SF

야.	야/IC+./SF

그는	그/NP+는/JX
한국시각장애인연합회	한국/NNP+시각/NNG+장애인/NNG+연합회/NNG
부산지부장을	부산/NNP+지부장/NNG+을/JKO
맡고	맡/VV+고/EM
있는	있/VV+는/ETM
시각장애인이다.	시각/NNG+장애인/NNG+이/VCP+다/EM+./SF

주민들은	주민/NNG+들/XSN+은/JX
"90년대	"/SS+90년대/NNP
왜	왜/MAG
수백만이	수백만/NR+이/JKS
굶어	굶/VV+어/EM
죽었느냐,	죽/VV+었/EP+느냐/EM+,/SP
두	두/MM
번	번/NNB
다시	다시/MAG
속지	속/VV+지/EM
않는다"는	않/VX+는다/EM+"/SS+는/JX
반응을	반응/NNG+을/JKO
보였다는	보이/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EM+./SF

더욱이	더욱이/MAJ
지금	지금/MAG
난	나/VV+ㄴ/ETM
감히	감히/MAG
‘흥청대는	‘/SS+흥청대/VV+는/ETM
풍악’의	풍악/NNG+’/SS+의/JKG
중심에	중심/NNG+에/JKB
있다.	있/VX+다/EM+./SF

학생들은	학생/NNG+들/XSN+은/JX
페이스북	페이스북/NNP
등	등/NNB
소셜네트워킹서비스(SNS)를	소셜/NNG+네트워킹/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+를/JKO
통해서도	통하/VV+아서/EM+도/JX
깔깔	깔깔/MAG
운동을	운동/NNG+을/JKO
전파하고	전파/NNG+하/XSV+고/EM
있다.	있/VX+다/EM+./SF

국군에	국군/NNP+에/JKB
투항할	투항/NNG+하/XSV+ㄹ/ETM
틈만	틈/NNG+만/JX
엿봤다.	엿보/VV+았/EP+다/EM+./SF

이후로는	이후/NNG+로/JKB+는/JX
계속	계속/MAG
중공군을	중공군/NNG+을/JKO
상대로	상대/NNG+로/JKB
싸웠다.	싸우/VV+었/EP+다/EM+./SF

4차	4/SN+차/NNB
레이스에	레이스/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
아시아	아시아/NNP
국가는	국가/NNG+는/JX
한국이	한국/NNP+이/JKS
유일했다.	유일/NNG+하/XSV+았/EP+다/EM+./SF

◆	◆/SW
이주형	이주형/NNP
책임편집|사회평론|585쪽|4만원	책임/NNG+편집/NNP+|/SW+사회/NNP+평론/NNP+|/SW+585/SN+쪽/NNB+|/SW+4/SN+만원/NNP

